timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/10 16:36:25.827, 73.12 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:26.335, 75.14 W, 100 %, 86 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:26.844, 71.75 W, 100 %, 83 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:27.353, 73.81 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:27.862, 77.68 W, 100 %, 85 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:28.370, 65.11 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:28.877, 63.47 W, 100 %, 83 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:29.386, 70.87 W, 100 %, 82 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:29.894, 35.07 W, 100 %, 81 %, 15360 MiB, 4800 MiB, 10109 MiB, 58
2022/11/10 16:36:30.421, 70.27 W, 79 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:30.926, 69.48 W, 91 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:31.436, 70.66 W, 96 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:31.944, 69.09 W, 95 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:32.453, 70.56 W, 97 %, 48 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:32.959, 68.01 W, 97 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:33.485, 88.67 W, 90 %, 45 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:33.993, 70.32 W, 97 %, 49 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:34.503, 67.21 W, 94 %, 54 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:35.011, 69.78 W, 95 %, 50 %, 15360 MiB, 4800 MiB, 10109 MiB, 60
2022/11/10 16:36:35.519, 70.42 W, 90 %, 51 %, 15360 MiB, 4800 MiB, 10109 MiB, 60
2022/11/10 16:36:36.026, 67.42 W, 90 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 60
2022/11/10 16:36:36.574, 71.40 W, 93 %, 52 %, 15360 MiB, 4800 MiB, 10109 MiB, 59
2022/11/10 16:36:37.083, 70.17 W, 95 %, 53 %, 15360 MiB, 4800 MiB, 10109 MiB, 60
2022/11/10 16:36:37.587, 71.11 W, 100 %, 68 %, 15360 MiB, 4800 MiB, 10109 MiB, 60
2022/11/10 16:36:38.094, 64.67 W, 100 %, 84 %, 15360 MiB, 4800 MiB, 10109 MiB, 60
